name,nickname,f_name,l_name,wins,loses,ties,height,weight,reach,stance,dob,age,slpm,str_ac,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Jordan Williams,Bomaye,Jordan,Williams,9,6,0,73,185,75,Southpaw,"Oct 13, 1990",31,5.83,0.5,5.46,0.35,1.11,0.5,0.85,0.0
Carter Williams,The Beast,Carter,Williams,4,5,0,73,265,N/A,Orthodox,N/A,N/A,1.55,0.36,2.32,0.58,2.9,0.33,1.0,0.0
Tim Williams,The South Jersey Strangler,Tim,Williams,15,5,0,74,185,76,Orthodox,"Jul 03, 1986",35,3.07,0.38,3.55,0.48,1.81,0.4,1.0,0.0
Patrick Williams,The Animal,Patrick,Williams,8,6,0,68,135,73,Orthodox,"Sep 07, 1981",40,4.12,0.51,4.12,0.52,2.71,0.41,1.0,0.5
Greg Wilson,,Greg,Wilson,2,3,0,N/A,155,N/A,N/A,"Oct 02, 1988",33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubin Williams,Mr. Hollywood,Rubin,Williams,0,1,0,73,185,N/A,Orthodox,"Apr 09, 1976",46,0.0,0.0,1.39,0.6,0.0,0.0,0.0,0.0
Tedd Williams,,Tedd,Williams,7,1,0,73,275,N/A,Orthodox,"Dec 19, 1969",52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wilks,Lightning,James,Wilks,7,4,0,73,170,75,Orthodox,"May 04, 1978",43,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8
Pete Williams,El Duro,Pete,Williams,12,6,0,75,235,N/A,Orthodox,"Jul 10, 1975",46,0.61,0.62,2.77,0.4,1.84,0.4,0.16,0.9
Aaron Wilkinson,The Daywalker,Aaron,Wilkinson,11,7,0,70,155,N/A,N/A,"Jan 31, 1987",35,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0
Mike Wilkinson,The Warrior,Mike,Wilkinson,9,4,0,67,145,66,Orthodox,"Sep 15, 1987",34,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9
Joe Wilk,The Nose,Joe,Wilk,19,11,0,69,145,N/A,N/A,"Apr 12, 1982",40,1.0,0.54,2.0,0.72,0.0,0.0,0.0,0.0
Justin Wilcox,Silverback,Justin,Wilcox,14,7,0,66,155,N/A,Orthodox,"Mar 12, 1979",43,3.82,0.28,2.63,0.71,1.43,0.16,1.0,0.0
Jonathan Wiezorek,,Jonathan,Wiezorek,11,2,0,75,250,N/A,Southpaw,"Feb 10, 1978",44,1.27,0.58,5.47,0.31,1.91,0.2,0.0,0.0
Garett Whiteley,Goodnight,Garett,Whiteley,7,3,0,72,155,72,Orthodox,"Dec 13, 1980",41,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9
Robert Whittaker,The Reaper,Robert,Whittaker,24,6,0,72,185,73,Orthodox,"Dec 20, 1990",31,4.45,0.42,3.32,0.6,0.81,0.35,0.83,0.0
Mike Whitehead,,Mike,Whitehead,27,8,0,73,205,N/A,Orthodox,"Jun 29, 1981",40,1.62,0.33,2.36,0.59,3.59,0.43,0.77,0.3
Emily Whitmire,Spitfire,Emily,Whitmire,4,5,0,65,125,63,Orthodox,"May 24, 1991",30,2.5,0.31,2.98,0.54,1.9,0.66,0.7,0.5
Orlando Wiet,The Gladiator,Orlando,Wiet,1,5,0,70,170,N/A,Southpaw,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex White,The Spartan,Alex,White,13,6,0,72,155,71,Southpaw,"Oct 22, 1988",33,3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5
Mitch Whitesel,,Mitch,Whitesel,17,27,0,69,185,N/A,N/A,"Jul 12, 1981",40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrik White,Primetime,Patrik,White,9,2,0,72,155,72,Orthodox,"Jun 11, 1993",28,9.77,0.49,6.28,0.6,0.0,0.0,0.5,0.0
Rob Wilkinson,Razor,Rob,Wilkinson,11,2,0,75,185,80,Orthodox,"Feb 22, 1992",30,2.74,0.5,5.66,0.39,4.47,0.25,0.0,0.0
Adam Wieczorek,Siwy,Adam,Wieczorek,10,2,0,77,250,81,Orthodox,"Feb 05, 1992",30,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4
Robert Whiteford,The Hammer,Robert,Whiteford,14,4,0,69,145,69,Southpaw,"Apr 12, 1983",39,2.33,0.46,1.99,0.62,1.9,0.3,0.45,0.0
Steve White,,Steve,White,1,4,0,71,175,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon White,Tiger,Vernon,White,26,33,2,72,205,N/A,Southpaw,"Dec 03, 1971",50,2.11,0.38,2.2,0.54,0.88,0.28,0.44,0.0
Aaron Wetherspoon,Slam,Aaron,Wetherspoon,9,5,0,N/A,170,N/A,N/A,N/A,N/A,2.27,0.32,4.33,0.45,0.0,0.0,0.77,0.0
Craig White,The Thundercat,Craig,White,14,9,0,74,170,76,Orthodox,"Jul 01, 1990",31,1.23,0.4,3.28,0.39,0.0,0.0,0.5,0.8
Coty Wheeler,Ox,Coty,Wheeler,14,5,0,66,135,67,Orthodox,"Oct 11, 1978",43,1.88,0.22,3.16,0.59,0.87,0.37,0.33,2.6
Sheldon Westcott,,Sheldon,Westcott,10,3,1,73,170,71,Southpaw,"Aug 20, 1984",37,2.26,0.4,3.73,0.37,3.23,0.37,0.14,0.0
Dustin West,,Dustin,West,6,6,0,71,170,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremiah Wells,,Jeremiah,Wells,10,2,1,69,170,74,Switch,"Oct 30, 1986",35,3.55,0.5,1.58,0.2,1.48,0.12,1.0,1.5
Christian Wellisch,The Hungarian Nightmare,Christian,Wellisch,8,5,0,74,234,77,Orthodox,"Sep 13, 1975",46,3.12,0.27,3.04,0.56,1.22,0.42,0.45,1.2
Mark Weir,The Wizard,Mark,Weir,21,18,1,74,185,N/A,Southpaw,"Sep 19, 1967",54,1.54,0.56,2.5,0.38,0.8,0.5,0.25,2.4
Fabricio Werdum,Vai Cavalo,Fabricio,Werdum,24,9,1,76,231,77,Orthodox,"Jul 30, 1977",44,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2
Daniel Weichel,The Weasel,Daniel,Weichel,39,9,0,70,145,70,N/A,"Nov 22, 1984",37,5.71,0.42,4.05,0.61,0.84,0.5,0.83,0.0
Chris Weidman,The All-American,Chris,Weidman,15,6,0,74,185,78,Orthodox,"Jun 17, 1984",37,3.03,0.43,3.14,0.52,3.92,0.47,0.65,0.9
Joshua Weems,Wide Open,Joshua,Weems,8,2,0,68,135,69,Orthodox,"May 05, 1994",27,6.92,0.6,5.54,0.61,0.0,0.0,0.0,0.0
Stephanie Webber,,Stephanie,Webber,2,2,0,66,135,N/A,N/A,N/A,N/A,0.91,0.8,3.85,0.15,6.79,0.4,0.0,0.0
Mike Wessel,Juggernaut,Mike,Wessel,15,8,0,72,260,N/A,Orthodox,"Dec 02, 1977",44,1.82,0.56,6.43,0.22,6.29,0.5,0.0,0.0
Jonavin Webb,The Spyder,Jonavin,Webb,9,2,0,70,170,N/A,Orthodox,"Apr 28, 1989",32,1.47,0.3,2.27,0.64,2.5,0.31,0.4,1.0
Enrique Watson,,Enrique,Watson,3,1,0,N/A,185,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darian Weeks,,Darian,Weeks,5,2,0,71,170,72,Orthodox,"Nov 23, 1993",28,5.27,0.55,6.07,0.49,2.5,0.45,0.0,0.0
Tom Watson,Kong,Tom,Watson,17,9,0,73,185,73,Orthodox,"Jul 13, 1982",39,4.01,0.44,4.41,0.5,0.15,0.07,0.43,0.0
Walel Watson,The Gazelle,Walel,Watson,14,10,0,71,135,75,Orthodox,"Jul 16, 1984",37,2.1,0.29,3.79,0.43,0.0,0.0,0.61,1.4
Maka Watson,,Maka,Watson,4,2,0,N/A,155,N/A,N/A,"Sep 22, 1984",37,0.93,0.37,1.6,0.22,2.0,1.0,0.33,0.0
Royston Wee,,Royston,Wee,4,1,0,67,135,67,Orthodox,"Nov 15, 1986",35,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0
Brok Weaver,Chata Tuska,Brok,Weaver,15,6,0,72,155,73,Southpaw,"Dec 05, 1991",30,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4
Michelle Waterson,The Karate Hottie,Michelle,Waterson,18,9,0,63,115,62,Orthodox,"Jan 06, 1986",36,3.57,0.48,4.13,0.5,1.4,0.32,0.67,0.8
Blake Watkins,,Blake,Watkins,5,1,0,N/A,185,N/A,N/A,N/A,N/A,5.45,0.62,7.64,0.61,0.0,0.0,0.0,0.0
Sam Watford,,Sam,Watford,2,2,0,N/A,155,N/A,N/A,N/A,N/A,0.13,0.18,0.73,0.62,2.0,0.4,0.6,1.0
Andy Waters,,Andy,Waters,1,2,0,72,170,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idris Wasi,,Idris,Wasi,2,14,0,72,186,N/A,N/A,"Dec 11, 1989",32,0.4,0.31,3.53,0.46,0.0,0.0,0.2,0.0
Ron Waterman,H20,Ron,Waterman,16,6,2,74,280,N/A,Orthodox,"Nov 23, 1965",56,0.84,0.5,1.37,0.42,4.19,0.69,0.5,2.8
Kyle Watson,,Kyle,Watson,13,8,1,72,155,N/A,Southpaw,"Aug 09, 1979",42,3.67,0.35,3.25,0.62,0.0,0.0,1.0,0.0
Dominic Waters,Sho Nuff,Dominic,Waters,9,5,0,73,170,79,Orthodox,"Apr 11, 1989",33,0.48,0.23,2.53,0.39,4.07,0.52,0.28,0.0
Joe Warren,,Joe,Warren,15,6,0,66,135,N/A,Orthodox,"Oct 31, 1976",45,2.15,0.46,2.39,0.52,6.14,0.46,0.6,0.0
Kazuhisa Watanabe,,Kazuhisa,Watanabe,0,1,0,66,139,N/A,N/A,"May 18, 1983",38,0.62,0.5,0.94,0.0,0.0,0.0,0.14,0.0
Brian Warren,Mr. Unbreakable,Brian,Warren,18,17,1,72,185,N/A,Orthodox,N/A,N/A,1.16,0.21,4.63,0.57,0.0,0.0,0.0,0.0
Kengo Watanabe,,Kengo,Watanabe,8,13,3,76,220,N/A,Orthodox,"Jan 31, 1976",46,0.6,0.4,3.4,0.35,1.0,1.0,0.37,0.0
Terrion Ware,Flash,Terrion,Ware,17,9,0,68,135,71,Orthodox,"Mar 31, 1986",36,4.02,0.32,6.07,0.5,0.5,0.22,0.44,0.0
Charlie Ward,,Charlie,Ward,3,3,0,71,170,N/A,Orthodox,"Dec 17, 1980",41,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0
Brennan Ward,The Irish Bad Boy,Brennan,Ward,14,5,0,70,170,71,N/A,"Jun 28, 1988",33,7.2,0.6,2.76,0.52,0.0,0.0,1.0,3.6
Anying Wang,,Anying,Wang,2,1,0,72,170,N/A,Orthodox,"Apr 04, 1991",31,1.32,0.26,1.63,0.44,0.0,0.0,0.33,0.0
Sai Wang,The Fire Kylin,Sai,Wang,20,6,1,72,170,N/A,Southpaw,"Jan 14, 1986",36,3.17,0.46,2.27,0.53,0.0,0.0,0.77,0.0
Curt Warburton,,Curt,Warburton,13,6,0,72,155,73,Orthodox,N/A,N/A,2.13,0.42,3.44,0.43,2.35,0.5,0.83,0.9
Merritt Warren,,Merritt,Warren,3,3,0,70,155,N/A,Southpaw,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Walsh,Filthy Rich,Richard,Walsh,9,5,0,72,170,73,Orthodox,"Dec 01, 1988",33,3.84,0.46,2.72,0.58,1.55,0.4,0.66,0.2
Jim Wallhead,Judo,Jim,Wallhead,29,11,0,70,170,N/A,Orthodox,"Mar 14, 1984",38,3.19,0.26,6.65,0.49,0.0,0.0,1.0,0.0
Cory Walmsley,Hardcore,Cory,Walmsley,8,2,0,72,205,N/A,Orthodox,N/A,N/A,0.79,1.0,1.18,0.5,0.0,0.0,0.0,0.0
James Wallace,Jesse,James,Wallace,5,2,0,70,155,69,Orthodox,"Nov 17, 1992",29,0.52,0.28,3.41,0.35,0.0,0.0,0.0,0.0
Erick Wanderlei,,Erick,Wanderlei,3,3,0,73,205,N/A,Orthodox,N/A,N/A,0.63,0.41,2.66,0.4,3.8,0.66,0.0,1.9
Andy Wang,,Andy,Wang,7,8,1,66,155,N/A,Orthodox,"May 28, 1977",44,3.43,0.36,10.29,0.62,0.0,0.0,0.0,0.0
Rodney Wallace,Shonuff the Master,Rodney,Wallace,26,15,1,69,205,72,Switch,"Nov 21, 1981",40,1.13,0.46,3.44,0.45,6.0,0.54,0.28,1.0
Dimitiri Wanderley,,Dimitiri,Wanderley,5,2,0,N/A,205,N/A,Orthodox,N/A,N/A,0.92,0.25,4.31,0.3,1.16,0.2,0.0,0.0
Patrick Walsh,The Beast of the East,Patrick,Walsh,10,3,0,71,185,N/A,N/A,"Nov 28, 1988",33,2.03,0.19,2.83,0.64,3.0,0.54,1.0,1.5
Jeremy Wallace,,Jeremy,Wallace,4,6,0,69,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crafton Wallace,Blaze,Crafton,Wallace,18,6,1,72,185,N/A,Orthodox,"Nov 10, 1975",46,1.55,0.44,2.36,0.47,0.0,0.0,0.42,0.0
Ben Wall,Manimal,Ben,Wall,8,7,1,70,155,N/A,Orthodox,"Mar 25, 1989",33,1.47,0.29,8.53,0.29,0.0,0.0,1.0,0.0
Randall Wallace,Braveheart,Randall,Wallace,15,6,0,71,185,73,Orthodox,"Mar 01, 1989",33,1.13,0.38,4.11,0.45,2.13,0.5,0.0,0.0
Donny Walker,Eagle Eye,Donny,Walker,15,10,0,69,135,N/A,N/A,"Jan 04, 1980",42,1.81,0.37,3.85,0.46,0.0,0.0,0.57,1.7
Johnny Walker,,Johnny,Walker,18,7,0,78,205,82,Orthodox,"Mar 30, 1992",30,3.45,0.58,2.78,0.42,0.23,1.0,0.62,0.7
Chase Waldon,,Chase,Waldon,11,2,0,73,185,75,Orthodox,"Sep 19, 1986",35,1.03,0.28,6.72,0.38,7.76,0.33,0.0,0.0
Herschel Walker,,Herschel,Walker,2,0,0,73,215,N/A,Orthodox,"Mar 03, 1962",60,3.42,0.67,0.45,0.46,1.94,1.0,1.0,0.0
Andre Walker,,Andre,Walker,1,5,0,71,205,N/A,Southpaw,N/A,N/A,2.28,0.31,4.36,0.34,0.0,0.0,0.0,0.0
Chris Wade,,Chris,Wade,12,3,0,70,155,70,Orthodox,"Sep 30, 1987",34,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1
TJ Waldburger,,TJ,Waldburger,16,9,0,71,170,75,Orthodox,"Apr 25, 1988",34,2.02,0.51,2.39,0.4,3.03,0.46,0.4,4.8
James Wade,,James,Wade,4,11,0,70,205,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Wain,Old School,Neil,Wain,13,4,0,70,242,N/A,Orthodox,N/A,N/A,2.64,0.5,8.57,0.43,0.0,0.0,0.5,0.0
Khabib Nurmagomedov,The Eagle,Khabib,Nurmagomedov,29,0,0,70,155,70,Orthodox,"Sep 20, 1988",33,4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8
Abubakar Nurmagomedov,,Abubakar,Nurmagomedov,16,3,1,71,170,72,Orthodox,"Nov 13, 1989",32,3.59,0.49,2.52,0.69,1.68,0.33,0.0,0.0
Umar Nurmagomedov,,Umar,Nurmagomedov,14,0,0,68,145,69,Orthodox,"Mar 01, 1996",26,3.61,0.64,0.67,0.83,7.56,0.37,0.0,2.5
Said Nurmagomedov,,Said,Nurmagomedov,15,2,0,68,135,70,Orthodox,"Apr 05, 1992",30,4.75,0.46,2.35,0.61,0.44,0.07,0.77,0.4
Istela Nunes,,Istela,Nunes,6,3,0,64,115,66,Orthodox,"Jul 23, 1992",29,5.4,0.43,4.01,0.61,0.0,0.0,0.41,0.0
Josiane Nunes,Josi,Josiane,Nunes,9,1,0,62,145,67,Southpaw,"Dec 23, 1993",28,7.54,0.42,4.37,0.52,0.0,0.0,0.7,0.0
Nina Nunes,,Nina,Nunes,10,7,0,65,115,64,Orthodox,"Dec 03, 1985",36,4.64,0.47,3.5,0.53,0.28,0.4,0.76,0.6
Shayilan Nuerdanbieke,Wolverine,Shayilan,Nuerdanbieke,20,7,0,68,145,69,Orthodox,"May 04, 1994",27,1.13,0.3,2.93,0.45,3.0,0.27,0.33,0.0
Diego Nunes,The Gun,Diego,Nunes,19,7,0,66,145,67,Orthodox,"Nov 30, 1982",39,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6
Phillipe Nover,The Filipino Assassin,Phillipe,Nover,11,8,1,69,145,72,Orthodox,"Feb 03, 1984",38,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7
Amanda Nunes,The Lioness,Amanda,Nunes,21,5,0,68,135,69,Orthodox,"May 30, 1988",33,4.55,0.51,2.81,0.55,2.46,0.54,0.82,0.8
Jonatas Novaes,,Jonatas,Novaes,13,5,0,71,170,N/A,N/A,"Mar 02, 1981",41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Norton,Hollywood,Scott,Norton,7,1,0,70,170,N/A,Orthodox,"Mar 15, 1973",49,0.67,0.3,0.34,0.6,2.52,0.25,0.0,0.0
Jason Novelli,Flipside,Jason,Novelli,11,3,1,72,155,N/A,Orthodox,"Jun 08, 1979",42,1.73,0.24,3.55,0.66,0.7,0.33,1.0,0.0
Nick Nolte,,Nick,Nolte,5,4,0,72,170,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Noke,,Kyle,Noke,22,10,1,73,170,76,Southpaw,"Mar 18, 1980",42,3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8
KJ Noons,King,KJ,Noons,13,9,0,70,155,70,Orthodox,"Dec 07, 1982",39,3.68,0.35,3.78,0.65,0.08,0.2,0.68,0.0
Talita Nogueira,Treta,Talita,Nogueira,6,0,0,70,145,N/A,N/A,"Oct 13, 1985",36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Noe,Psycho,Jacob,Noe,3,11,0,N/A,205,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rogerio Nogueira,Minotouro,Rogerio,Nogueira,23,10,0,74,205,75,Southpaw,"Jun 02, 1976",45,2.43,0.35,2.34,0.59,0.64,0.44,0.62,0.8
Antonio Rodrigo Nogueira,Minotauro,Antonio,Rodrigo,34,10,1,75,240,77,Orthodox,"Jun 02, 1976",45,1.95,0.42,2.4,0.55,1.3,0.29,0.36,2.4
Sage Northcutt,Super,Sage,Northcutt,11,2,0,72,170,71,Orthodox,"Mar 01, 1996",26,3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6
Derrick Noble,The Eraser,Derrick,Noble,27,15,1,69,170,N/A,Southpaw,"Aug 14, 1978",43,6.21,0.4,3.79,0.59,0.0,0.0,0.0,0.0
Jan Nortje,The Giant,Jan,Nortje,2,6,0,73,310,N/A,Southpaw,"Apr 11, 1975",47,3.32,0.51,4.5,0.32,0.0,0.0,0.66,2.9
Anthony Njokuani,The Assassin,Anthony,Njokuani,16,12,0,73,155,75,Orthodox,"Mar 01, 1980",42,3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2
Pedro Nobre,The Rock,Pedro,Nobre,18,4,2,65,135,N/A,N/A,"Feb 13, 1986",36,1.37,0.3,9.16,0.35,0.0,0.0,0.0,0.0
Alexandre Franca Nogueira,Pequeno,Alexandre,Franca,18,6,3,67,145,N/A,Orthodox,"Jan 15, 1978",44,0.6,0.2,4.18,0.57,0.0,0.0,0.0,0.0
Yosuke Nishijima,,Yosuke,Nishijima,0,5,0,69,205,N/A,Orthodox,"May 15, 1973",48,1.72,0.37,5.59,0.56,0.0,0.0,0.0,0.0
Akiyo Nishiura,Wicky Akiyo,Akiyo,Nishiura,13,8,1,68,139,N/A,Southpaw,"Aug 08, 1983",38,1.59,0.57,1.26,0.57,0.0,0.0,0.52,0.3
Jack Nilson,,Jack,Nilson,2,6,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soichi Nishida,,Soichi,Nishida,5,10,1,71,320,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangyou Ning,Smasher,Guangyou,Ning,5,4,1,64,145,64,Southpaw,"Dec 15, 1981",40,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3
Mats Nilsson,,Mats,Nilsson,11,4,1,73,170,N/A,Orthodox,"Dec 05, 1983",38,2.99,0.39,5.62,0.63,3.87,0.83,0.44,2.3
Hans Nijman,,Hans,Nijman,9,7,0,72,250,N/A,Switch,"Oct 23, 1959",62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chidi Njokuani,Bang Bang,Chidi,Njokuani,21,7,0,75,185,80,Orthodox,"Dec 31, 1988",33,3.91,0.72,1.53,0.58,0.0,0.0,0.78,0.0
Ramsey Nijem,,Ramsey,Nijem,9,6,0,71,155,75,Orthodox,"Apr 01, 1988",34,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1
Tom Niinimaki,Stoneface,Tom,Niinimaki,22,8,1,69,145,69,Orthodox,"Jul 25, 1982",39,1.91,0.54,2.31,0.58,2.97,0.46,0.33,0.5
Khomkrit Niimi,The Bumblebee,Khomkrit,Niimi,6,10,0,62,125,N/A,N/A,N/A,N/A,0.0,0.0,5.73,0.44,0.0,0.0,0.0,0.0
Matheus Nicolau,,Matheus,Nicolau,18,3,1,66,125,66,Orthodox,"Jan 06, 1993",29,3.64,0.52,3.09,0.67,1.46,0.42,0.93,1.0
Mike Nickels,,Mike,Nickels,9,5,0,76,205,N/A,Orthodox,"Dec 13, 1971",50,4.44,0.52,1.11,0.64,11.11,0.8,0.0,2.8
Steven Nguyen,The Ninja,Steven,Nguyen,8,1,0,71,145,73,Switch,"May 19, 1993",28,7.36,0.43,7.47,0.56,0.0,0.0,0.77,0.0
Alex Nicholson,The Spartan,Alex,Nicholson,7,4,0,76,185,77,Orthodox,"May 02, 1990",31,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5
Ben Nguyen,Ten,Ben,Nguyen,16,8,0,65,125,65,Switch,"Aug 03, 1988",33,3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0
Emanuel Newton,The Hardcore Kid,Emanuel,Newton,26,12,1,73,205,N/A,N/A,"Jan 02, 1984",38,1.92,0.49,1.35,0.51,2.02,1.0,0.0,0.0
Journey Newson,,Journey,Newson,9,3,0,65,135,67,Orthodox,"Mar 07, 1989",33,2.76,0.32,2.76,0.65,0.0,0.0,0.0,0.9
Carlos Newton,The Ronin,Carlos,Newton,16,14,0,69,170,N/A,Orthodox,"Aug 17, 1976",45,0.65,0.41,1.55,0.44,2.47,0.7,0.43,0.9
Jaimelene Nievera,Queenie,Jaimelene,Nievera,7,4,0,65,125,N/A,Orthodox,"Oct 28, 1984",37,1.67,0.53,8.73,0.33,1.79,0.16,0.0,0.0
Antonio Braga Neto,,Antonio,Braga,9,3,0,75,185,77,Orthodox,"Oct 29, 1987",34,1.36,0.33,3.92,0.45,3.07,0.37,0.0,0.5
Julio Cesar Neves Jr.,Morceguinho,Julio,Cesar,33,1,0,68,145,N/A,N/A,"Apr 25, 1994",28,1.98,0.35,4.81,0.51,1.06,0.25,0.76,0.0
Francis Ngannou,The Predator,Francis,Ngannou,17,3,0,76,250,83,Orthodox,"Sep 05, 1986",35,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3
Lissette Neri,,Lissette,Neri,6,4,0,62,145,N/A,N/A,"Aug 05, 1987",34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Neto,Sukata,Mario,Neto,13,5,0,72,229,N/A,Orthodox,N/A,N/A,1.89,0.5,1.89,0.7,2.84,1.0,0.0,0.0
Gunnar Nelson,Gunni,Gunnar,Nelson,18,5,1,71,170,72,Switch,"Jul 28, 1988",33,1.83,0.6,3.05,0.5,1.86,0.6,0.66,0.9
Roy Nelson,Big Country,Roy,Nelson,22,14,0,72,263,73,Orthodox,"Jun 20, 1976",45,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1
Jeff Newton,,Jeff,Newton,4,2,0,74,205,N/A,Sideways,"Dec 11, 1966",55,0.28,0.2,1.41,0.52,0.0,0.0,0.0,8.5
Kyle Nelson,The Monster,Kyle,Nelson,13,4,0,71,155,71,Switch,"Apr 20, 1991",31,3.63,0.41,6.82,0.47,0.96,0.12,0.6,1.9
Nick Newell,Notorious,Nick,Newell,14,2,0,70,155,N/A,Southpaw,"Mar 17, 1986",36,3.53,0.46,4.07,0.36,0.0,0.0,0.33,0.0
Shane Nelson,Sugar,Shane,Nelson,16,7,0,69,155,70,Southpaw,"Nov 29, 1984",37,1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6
Steve Nelmark,The Sandman,Steve,Nelmark,2,1,0,72,240,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Neer,The Dentist,Josh,Neer,36,16,1,71,170,72,Orthodox,"Mar 24, 1983",39,3.29,0.46,3.63,0.58,1.09,0.34,0.46,1.3
Joe Neal,Nine Lives,Joe,Neal,6,2,0,66,135,N/A,N/A,"Jul 29, 1986",35,1.87,0.19,3.8,0.66,0.0,0.0,0.0,0.0
Stanislav Nedkov,Stucky,Stanislav,Nedkov,12,2,0,71,205,71,Orthodox,"Dec 09, 1981",40,3.33,0.43,5.39,0.43,2.77,0.41,0.0,0.0
Nicolae Negumereanu,,Nicolae,Negumereanu,12,1,0,72,205,78,Orthodox,"Sep 04, 1994",27,3.39,0.39,5.92,0.38,0.65,0.18,0.62,0.0
Geoff Neal,Handz of Steel,Geoff,Neal,14,4,0,71,170,75,Southpaw,"Aug 28, 1990",31,4.63,0.49,4.91,0.62,0.5,0.5,0.85,0.2
Josh Neal,,Josh,Neal,5,11,0,72,185,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Neace,The Beast,Dustin,Neace,25,21,1,69,145,N/A,N/A,"Sep 12, 1986",35,2.08,0.32,2.66,0.56,0.0,0.0,0.0,1.7
Kevin Natividad,Quicksand,Kevin,Natividad,9,3,0,66,145,70,Orthodox,"Apr 02, 1993",29,2.63,0.24,4.02,0.54,0.0,0.0,1.0,0.0
Marcio Navarro,The Locomotive,Marcio,Navarro,14,14,0,72,155,N/A,N/A,"Sep 17, 1978",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Navarro,,Danny,Navarro,17,7,0,70,155,N/A,N/A,"May 27, 1983",38,3.83,0.32,4.62,0.57,2.17,0.25,1.0,0.0
Ismail Naurdiev,The Austrian Wonderboy,Ismail,Naurdiev,19,4,0,70,170,74,Orthodox,"Aug 18, 1996",25,3.17,0.52,1.3,0.68,1.25,0.71,0.7,0.2
Nasrudin Nasrudinov,,Nasrudin,Nasrudinov,9,1,0,72,205,71,Orthodox,"Oct 06, 1991",30,1.03,0.87,0.29,0.75,2.2,0.5,0.4,0.0
Reza Nasri,,Reza,Nasri,0,1,0,71,205,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pawel Nastula,,Pawel,Nastula,5,6,0,72,230,N/A,Southpaw,"Jun 26, 1970",51,1.3,0.43,1.73,0.5,3.0,0.6,0.0,1.5
